Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2023-02-17,3795359,1035864,622900,1331019,650587.0,580832,929226.0,2195726,1763827,1122693,549283,21640022
2023-02-20,2961980,1260085,466773,1611948,127.0,451625,210691.0,1540328,1116319,1176415,285429,14512393
2023-02-21,2165825,965606,1272347,1053350,0.0,775719,323176.0,1175737,776722,380188,307918,16070906
2023-02-22,2904691,692360,2165404,1065889,0.0,1778051,96010.0,1522777,536669,412277,345721,13320499
2023-02-23,2805342,621124,1365147,969323,9.0,1893097,34216.0,1728965,723252,669476,482191,16150077
2023-02-24,1407188,986915,1036631,901730,0.0,3389450,340580.0,1274954,1309366,880841,1241152,19910441
2023-02-27,1667682,659199,952595,1322013,566795.0,2370603,0.0,772237,1280441,907489,524937,14611062
2023-02-28,2487201,1074661,779156,1332251,0.0,2332911,278936.0,1145667,2048126,923317,578858,20308818
2023-03-01,1499226,615410,492309,1029000,427000.0,1430861,100000.0,812108,879926,1017202,268745,14456219
2023-03-02,1968873,544799,591524,1587828,0.0,1098476,80210.0,770912,1624495,1178781,488498,46319078
2023-03-03,1390658,497545,552817,1161110,0.0,1155363,2016730.0,759334,1038231,391989,317864,14323218
2023-03-06,1507831,617803,398340,1099586,127.0,980719,0.0,1190146,865016,135165,396531,19219962
2023-03-07,2316335,819566,1220780,865595,1168924.0,1242924,1460325.0,1001069,560027,432744,356891,16814055
2023-03-08,2067036,699485,702485,1298721,0.0,1310712,709951.0,934060,667281,2651171,559067,13512430
2023-03-09,2010866,1382156,557796,748598,0.0,1098836,0.0,678668,630803,1015594,721410,21271780
2023-03-10,1378073,1638783,740865,881704,465555.0,2593545,228356.0,736169,1302579,363042,529852,17111410
2023-03-13,1607470,1244008,908462,805320,1984793.0,1054021,151971.0,1445498,984172,896654,719924,17586102
2023-03-14,2137897,1115151,1192420,1845873,175100.0,1577247,1000948.0,2743237,1387168,576028,1075900,20038224
2023-03-15,2980684,1289024,882185,2402293,0.0,722329,0.0,1751381,825798,1135715,762861,16139961
2023-03-16,2494002,590312,1414724,3121140,275000.0,1373932,2674.0,2683343,1195467,793678,906885,34664163
